Event	ID	Name			Wwise Object Path	Notes
	166862117	Play_R_Boss_ShieldBreak			\Default Work Unit\BOSS\ShieldBreak\Play_R_Boss_ShieldBreak	
	1538231534	Play_R_Boss_Settle			\Default Work Unit\BOSS\Voices\Play_R_Boss_Settle	
	1779048192	Play_R_Boss_Dodge			\Default Work Unit\BOSS\Voices\Play_R_Boss_Dodge	
	1832843239	Play_R_Boss_CanNotDodge			\Default Work Unit\BOSS\Voices\Play_R_Boss_CanNotDodge	
	2434935390	Play_R_Boss_Run			\Default Work Unit\BOSS\Voices\Play_R_Boss_Run	
	2510116948	Laser_End			\Default Work Unit\BOSS\LaserEvent\Laser_End	
	2614099830	Play_R_Boss_Hurt_Normal			\Default Work Unit\BOSS\Voices\Play_R_Boss_Hurt_Normal	
	3217810413	Laser_Start_Release			\Default Work Unit\BOSS\LaserEvent\Laser_Start_Release	
	3428356050	Laser_Start_Trigger			\Default Work Unit\BOSS\LaserEvent\Laser_Start_Trigger	
	3788219053	Play_R_Boss_Hurt_Cat			\Default Work Unit\BOSS\Voices\Play_R_Boss_Hurt_Cat	
	4154444698	Laser_Start_Charge			\Default Work Unit\BOSS\LaserEvent\Laser_Start_Charge	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	32274007	VOX_Boss1_StopRunningYouLIttleRats_01	D:\Projet_Platinium\PlatiniumProject\Platinium_Project_WwiseProject\.cache\Windows\SFX\VOX_Boss1_StopRunningYouLIttleRats_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\BOSS\Voices\Run\R_Boss_Run\VOX_Boss1_StopRunningYouLIttleRats_01		236424
	32842896	SFX_Boss1_Shield_Break_02	D:\Projet_Platinium\PlatiniumProject\Platinium_Project_WwiseProject\.cache\Windows\SFX\SFX_Boss1_Shield_Break_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\BOSS\Shield_Break\R_Boss_ShieldBreak\SFX_Boss1_Shield_Break_02		80772
	55517256	SFX_Boss1_Shield_Break_03	D:\Projet_Platinium\PlatiniumProject\Platinium_Project_WwiseProject\.cache\Windows\SFX\SFX_Boss1_Shield_Break_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\BOSS\Shield_Break\R_Boss_ShieldBreak\SFX_Boss1_Shield_Break_03		86374
	120772766	SFX_Boss1_LaserBeam_End	D:\Projet_Platinium\PlatiniumProject\Platinium_Project_WwiseProject\.cache\Windows\SFX\SFX_Boss1_LaserBeam_End_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\BOSS\Laser\SFX_Boss1_LaserBeam_End		764364
	143212804	VOX_Boss1_Hurt_CatIntonation_01	D:\Projet_Platinium\PlatiniumProject\Platinium_Project_WwiseProject\.cache\Windows\SFX\VOX_Boss1_Hurt_CatIntonation_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\BOSS\Voices\Hurt\Cat\R_Boss_Hurt_Cat\VOX_Boss1_Hurt_CatIntonation_01		107040
	180412728	VOX_Boss1_LetSettleThis_03	D:\Projet_Platinium\PlatiniumProject\Platinium_Project_WwiseProject\.cache\Windows\SFX\VOX_Boss1_LetSettleThis_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\BOSS\Voices\Settle\R_Boss_Settle\VOX_Boss1_LetSettleThis_03		154232
	203527148	SFX_Boss1_Shield_Break_04	D:\Projet_Platinium\PlatiniumProject\Platinium_Project_WwiseProject\.cache\Windows\SFX\SFX_Boss1_Shield_Break_04_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\BOSS\Shield_Break\R_Boss_ShieldBreak\SFX_Boss1_Shield_Break_04		74132
	214386548	SFX_Boss1_Shield_Break_01	D:\Projet_Platinium\PlatiniumProject\Platinium_Project_WwiseProject\.cache\Windows\SFX\SFX_Boss1_Shield_Break_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\BOSS\Shield_Break\R_Boss_ShieldBreak\SFX_Boss1_Shield_Break_01		69588
	216173574	SFX_Boss1_LaserBeam_Start_Charge	D:\Projet_Platinium\PlatiniumProject\Platinium_Project_WwiseProject\.cache\Windows\SFX\SFX_Boss1_LaserBeam_Start_Charge_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\BOSS\Laser\SFX_Boss1_LaserBeam_Start_Charge		1154692
	229407900	VOX_Boss1_DodgeThis_03	D:\Projet_Platinium\PlatiniumProject\Platinium_Project_WwiseProject\.cache\Windows\SFX\VOX_Boss1_DodgeThis_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\BOSS\Voices\Dodge\R_Boss_Dodge\VOX_Boss1_DodgeThis_03		158990
